filename,en,fr,exists
welcome,Welcome to our application prototype Shariculture! A platform to borrow items or services from others.,Bienvenue à notre prototype de Shariculture! Où on peut louer des outils agricoles d'autre fermiers. ,0
category,What product would you like to lend?,Quel produit es-ce que vous voulez louer?,0
pre_choice_option,To select,Pour sélectionner,1
post_choice_option,press,appuyer sur,1
0,0,0,1
1,1,1,1
2,2,2,1
3,3,3,1
4,4,4,1
5,5,5,1
6,6,6,1
7,7,7,1
8,8,8,1
9,9,9,1
dutch,dutch,néerlandais,1
english,english,anglais,1
error,sorry an error occurred,"excusez moi, il y a une erreur",1
french,french,francais,1
no,no,non,1
select_language,please select your language,voulez sélectionner votre langue,1
thank_you_for_using,thank your for using this service,merci d’utiliser ce service,1
yes,yes,oui,1
transport,transport,Moyen de transports,0
milling_devices,Milling devices,Fraiseuse,0
storage,storage,espace de rangement,0
to_continue,to continue,continuer,0
choose_differently,to choose a different category,choisir une catégorie différente,0
you_selected,you selected,vous avez sélectionné,0
hear_offers,You will now hear several local offers:,Les offres locales sont,0
select_offers,Please choose an offer by pressing the corresponding number on your phone.,"S'il vous plaît, choisir un offre par touchez le nummero de ce offre. ",0
contact_user,You can contact the owner at 22344978200 ,Vous pouvez contacter le propriétaire à 22344978200 ,0
phonenumber1,22344978200,22344978200,0
transport1,Pick-up truck for rent. Located at Banco. 3 Malian franc per day.,Un camion à louer à Banco. 3 Franc Malien par jour.,0
transport2,Horse and carriage for rent. Located at San. 2 Malian franc per day.,Une charette avec cheval à louer à San. 2 Franc Malien par jour.,0
transport3,A donkey for rent. Located at Bougouni. 1 Malian franc per day.,Un âne à louer à Bougouni. 1 Franc Malien par jour.,0
milling_device1,A milling device. Located at Banco. 7 Malian franc per day.,Une fraiseuse à Banco. 7 Franc Malien par jour,0
milling_device2,An extra large milling device. Located at San. 8 Malian franc per day.,Une plus grande fraiseuse. Located at San. 8 Franc Malien par jour,0
milling_device3,A milling device. Located at Bougouni. 6 Malian franc per day.,Une fraiseuse à Bougouni. 6 Franc Malien par jour.,0
storage1,Large shed.  Located at Banco. 3 Malian franc per day.,Grande remise.  Localisé à Banco. 3 Franc Malien par jour.,0
storage2,Small room. Located at San. 3 Malian franc per day.,Une chambre. Localisé à San. 3 Franc Malien par jour.,0
storage3,Part of a room. Located at Bougouni. 2 Malian franc per day,Une demi chambre. 2 Franc Malien par jour.,0
selected_storage,You have selected storage.,Vous avez sélectionné moyen de transports,0
selected_milling_devices,You have selected milling devices.,Vous avez sélectionné fraiseuse,0
selected_transport,You have selected transport.,Vous avez sélectionné espace de rangement,0
